timestamp,zone,scenario_id,scenario_name,air_temperature_C,air_humidity_pct,co2_ppm,ppfd_umol_m2_s,substrate_moisture_pct,vpd_kpa,dli_increment_mol_m2,quality_flag,in_target_range,latency_sec
2026-05-01T00:00:00Z,zone1,1,normal,19.04,66.45,636.3,0.0,34.42,0.739,0.000000,ok,1,1.862
2026-05-01T00:01:00Z,zone1,1,normal,19.13,66.38,635.0,0.0,34.26,0.745,0.000000,ok,1,0.853
2026-05-01T00:02:00Z,zone1,1,normal,19.19,66.65,627.4,0.0,33.94,0.742,0.000000,ok,1,0.797
2026-05-01T00:03:00Z,zone1,1,normal,19.08,66.50,646.7,0.0,33.82,0.740,0.000000,ok,1,1.071
2026-05-01T00:04:00Z,zone1,1,normal,19.23,66.40,644.6,0.0,34.31,0.749,0.000000,ok,1,2.032
2026-05-01T00:05:00Z,zone1,1,normal,19.17,65.51,599.9,0.0,34.07,0.766,0.000000,ok,1,1.02
2026-05-01T00:06:00Z,zone1,1,normal,19.19,65.72,652.2,0.0,33.96,0.762,0.000000,ok,1,1.365
2026-05-01T00:07:00Z,zone1,1,normal,19.09,67.14,649.3,0.0,34.35,0.726,0.000000,ok,1,0.861
2026-05-01T00:08:00Z,zone1,1,normal,18.96,66.07,632.9,0.0,34.39,0.744,0.000000,ok,1,1.506
2026-05-01T00:09:00Z,zone1,1,normal,19.21,67.56,647.7,0.0,34.49,0.722,0.000000,ok,1,1.337
2026-05-01T00:10:00Z,zone1,1,normal,19.24,65.56,640.9,0.0,34.33,0.768,0.000000,ok,1,1.031
2026-05-01T00:11:00Z,zone1,1,normal,19.18,68.19,649.9,0.0,34.09,0.707,0.000000,ok,1,1.4
2026-05-01T00:12:00Z,zone1,1,normal,19.24,66.17,639.8,0.0,34.48,0.755,0.000000,ok,1,1.261
2026-05-01T00:13:00Z,zone1,1,normal,18.74,65.81,632.6,0.0,34.39,0.739,0.000000,ok,1,0.64
2026-05-01T00:14:00Z,zone1,1,normal,19.12,65.84,654.9,0.0,34.38,0.756,0.000000,ok,1,1.519
2026-05-01T00:15:00Z,zone1,1,normal,19.05,67.55,653.8,0.0,34.47,0.715,0.000000,ok,1,0.657
2026-05-01T00:16:00Z,zone1,1,normal,19.18,66.17,632.4,0.0,34.28,0.751,0.000000,ok,1,0.858
2026-05-01T00:17:00Z,zone1,1,normal,19.00,66.29,643.5,0.0,33.94,0.740,0.000000,ok,1,1.714
2026-05-01T00:18:00Z,zone1,1,normal,19.24,66.55,676.6,0.0,34.37,0.746,0.000000,ok,1,1.061
2026-05-01T00:19:00Z,zone1,1,normal,19.40,65.37,657.4,0.0,34.46,0.780,0.000000,ok,1,1.441
2026-05-01T00:20:00Z,zone1,1,normal,18.86,66.68,639.9,0.0,34.86,0.726,0.000000,ok,1,1.132
2026-05-01T00:21:00Z,zone1,1,normal,18.80,66.27,646.9,0.0,34.53,0.732,0.000000,ok,1,1.111
2026-05-01T00:22:00Z,zone1,1,normal,19.18,66.89,632.8,0.0,34.62,0.736,0.000000,ok,1,0.975
2026-05-01T00:23:00Z,zone1,1,normal,19.31,66.97,647.8,0.0,34.91,0.740,0.000000,ok,1,0.746
2026-05-01T00:24:00Z,zone1,1,normal,19.11,66.90,661.7,0.0,34.17,0.732,0.000000,ok,1,1.112
2026-05-01T00:25:00Z,zone1,1,normal,19.13,66.11,657.1,0.0,34.49,0.751,0.000000,ok,1,1.101
2026-05-01T00:26:00Z,zone1,1,normal,19.05,65.50,651.0,0.0,34.31,0.760,0.000000,ok,1,1.098
2026-05-01T00:27:00Z,zone1,1,normal,19.18,66.13,650.5,0.0,34.61,0.753,0.000000,ok,1,1.124
2026-05-01T00:28:00Z,zone1,1,normal,19.09,68.12,616.8,0.0,34.52,0.705,0.000000,ok,1,1.239
2026-05-01T00:29:00Z,zone1,1,normal,19.43,66.52,678.6,0.0,34.21,0.756,0.000000,ok,1,1.543
