timestamp,sensor_id,zone,parameter,value,unit,quality_flag,source_type,scenario_id
2026-05-01T00:00:00Z,sht41-01,zone1,air_temperature,18.87,C,ok,emulated,1
2026-05-01T00:00:00Z,sht41-01,zone1,air_humidity,65.88,%,ok,emulated,1
2026-05-01T00:00:00Z,scd41-01,zone1,co2,618.3,ppm,ok,emulated,1
2026-05-01T00:00:00Z,sq521-01,zone1,ppfd,0,umol/m2/s,ok,emulated,1
2026-05-01T00:00:00Z,teros12-01,zone1,substrate_moisture,34.2,%,ok,emulated,1
2026-05-01T00:01:00Z,sht41-01,zone1,air_temperature,18.96,C,ok,emulated,1
2026-05-01T00:01:00Z,sht41-01,zone1,air_humidity,65.81,%,ok,emulated,1
2026-05-01T00:01:00Z,scd41-01,zone1,co2,617.0,ppm,ok,emulated,1
2026-05-01T00:01:00Z,sq521-01,zone1,ppfd,0,umol/m2/s,ok,emulated,1
2026-05-01T00:01:00Z,teros12-01,zone1,substrate_moisture,34.04,%,ok,emulated,1
2026-05-01T00:02:00Z,sht41-01,zone1,air_temperature,19.02,C,ok,emulated,1
2026-05-01T00:02:00Z,sht41-01,zone1,air_humidity,66.08,%,ok,emulated,1
2026-05-01T00:02:00Z,scd41-01,zone1,co2,609.4,ppm,ok,emulated,1
2026-05-01T00:02:00Z,sq521-01,zone1,ppfd,0,umol/m2/s,ok,emulated,1
2026-05-01T00:02:00Z,teros12-01,zone1,substrate_moisture,33.72,%,ok,emulated,1
2026-05-01T00:03:00Z,sht41-01,zone1,air_temperature,18.91,C,ok,emulated,1
2026-05-01T00:03:00Z,sht41-01,zone1,air_humidity,65.93,%,ok,emulated,1
2026-05-01T00:03:00Z,scd41-01,zone1,co2,628.7,ppm,ok,emulated,1
2026-05-01T00:03:00Z,sq521-01,zone1,ppfd,0,umol/m2/s,ok,emulated,1
2026-05-01T00:03:00Z,teros12-01,zone1,substrate_moisture,33.6,%,ok,emulated,1
2026-05-01T00:04:00Z,sht41-01,zone1,air_temperature,19.06,C,ok,emulated,1
